cliente_id,edad,transacciones,monto,gasto_promedio
1,34,36,64083,1780.0833333333333
2,18,29,142874,4926.689655172414
3,29,28,196352,7012.571428571428
4,31,27,32126,1189.851851851852
5,19,27,368323,13641.592592592593
6,48,7,87824,12546.285714285714
7,22,21,156525,7453.571428571428
8,24,32,138221,4319.40625
9,23,22,228718,10396.272727272728
10,24,1,125712,125712.0
11,40,7,39835,5690.714285714285
12,31,20,454318,22715.9
13,23,3,445866,148622.0
14,20,16,102743,6421.4375
15,49,31,67395,2174.032258064516
16,44,36,343980,9555.0
17,25,27,162728,6026.962962962963
18,33,3,245611,81870.33333333333
19,22,13,453566,34889.692307692305
20,32,33,216910,6573.030303030303
